1:		Team Unlimited
7:		Pajama Suits
18:		Techno Chix
22:		100 Scholars
25:		Rock 'n Roll Robots
28:		PolyGnomes
33:		Enigma
36:		Wyverns
37:		Rising Tide
38:		The PAKBOTS
39:		The Gingerbread Men
40:		HAX
54:		Gr3y Matt3r
55:		Miners
61:		OZONE
71:		Octopi
72:		GarageBots
88:		Gouverneur Central
92:		Junior Bomb Squad
110:	MFS Foxes
111:	MiniStang
112:	RoboKnights of the Round Table
116:	Crazy Eights
118:	Steel Hornets
121:	Rhode Rage I
123:	Vanguard
127:	The Fighting Pickles
130:	"Blazing Paranormals"
133:	Arrows
135:	Fusion
137:	Franklin Academy
140:	Norwood Norfolk Central School
147:	Montclair Momentum
149:	Hawks
150:	Justice
153:	OFA Robotics
154:	Renegade
178:	SD30 Robotics
187:	Not Determined Yet
194:	Out of the Blue
201:	The Robo Broncos
204:	Bruin Tech
205:	Screw Loose
207:	Critical Mass
208:	KC Robotics Team
220:	Spartans
221:	Spartans
226:	OHS 623 FTC Team 1
230:	Ampere
237:	MFS Hawks
247:	The Game
248:	Fatal Error
249:	Razor Robotics 
250:	Ninja Pirates
251:	Mech-alodons
252:	Robo Warriors
257:	Cougarbotics
260:	Static Shock Camels
265:	Viking Robotics 
267:	EMP
273:	Tigers
288:	Spare Parts
289:	Robohawks 289
290:	Robohawks 290
291:	Team 291
293:	Cape Squad
309:	K-Bot
310:	Stuy Fission
311:	Fembots
322:	SciTech
327:	Gamma Factor
329:	Chicago Squires
336:	4-HTWX
339:	Forge Robotics
342:	Hopewell Gear Heads
343:	Blue Devils
348:	Lightning
354:	ILITE Prime
358:	The Gaulbots
359:	The Gaulbots2
360:	The Revolution
364:	Warriors
365:	MOE (The Miracle Workerz)
367:	High School Team
369:	OHS 623 FTC Team 2
378:	War Bot's
389:	RoboBees
391:	Mighty Irish
392:	Nerds of Steel
395:	Robauktics
403:	The Force
404:	Impulse
405:	Blue Crew
406:	406
407:	407
408:	408
409:	Aluminati
417:	Swerve Alpha  
436:	HAZE
447:	2 Much Sense
450:	Children of the Swamp
452:	PHI Alpha
455:	PewPewLazerBeams
458:	Activate GO Initiative
479:	Stuy Fusion
496:	RoboCats
499:	NanoFusion
505:	Knights
506:	Pandara
516:	Gears of Fire
519:	ED Too
524:	Boss Bots
525:	Success
534:	STAR Techs
535:	Tobor
542:	WHS Robotics
548:	Geek Squad
560:	*STAR*
577:	Wreckers Robotics
583:	Cavaliers
596:	Transformerz
607:	Dragon Slayers
608:	The Phoenix
619:	Mecha Makos
620:	Red Raiders
633:	Supernormal Incremental Precipitation Inducers
647:	Robotigers Delta
651:	Sabers
652:	UNDERDOGS
657:	RhodeBOTS
668:	Art's Legacy
669:	Milpitas Xtreme Robotics
673:	Endians
676:	Blue RoboDragon
679:	RoboRaiders
689:	Nerds on Fire
701:	Powell Rangers
712:	RoboWorks
724:	RedNek Robotics Wun
731:	Wannabee Strange
741:	Raiders
750:	Gears in Motion
753:	EnTech
755:	The Mechanical Wave
756:	TEST Team
757:	Suburban Legends
760:	Metal Menace
772:	Holocron
779:	Wildcats
785:	The Pathfinders
796:	Wolves
839:	MIGHTY Mechanics
965:	Shark Mafia
975:	Synergy
1002:	CircuitRunners
1033:	Team CLUTCH
1102:	M'Aiken Tech Magic
1369:	Minotaur
1691:	Eagles
1793:	The Pilots
1885:	ILitening Robotics
1983:	Skunk Works Black
2408:	Shrapnel Sergeants
2425:	Hydra
2753:	Team Overdrive
2801:	Cardinals
2803:	Raptor Robotics
2818:	The Original G-FORCE
2821:	CART
2825:	Raider Robot Riot 
2827:	Artificial Stupidity
2833:	Midwest 2
2835:	Green Grizz
2836:	Red Team
2844:	Valley X
2845:	Team Duct Tape
2856:	Sector SAAS
2858:	Sparbots
2866:	Green Army Robotics - Covert Division
2867:	Green Army Robotics - Armored Division
2868:	Smoke and Mirrors
2873:	Robobuffs
2875:	MightyBots
2885:	Kronos
2887:	Edina Bucket Brigade
2888:	Oddly Charged Particles
2891:	WarriorBorgs
2897:	Grizzl-E
2898:	The BaronBots
2901:	Purple Gears
2923:	Robowarriors
2926:	T-Robots
2927:	Cold Steel
2929:	Brit Bot
2930:	Saint Servos
2940:	Wave Riders
2944:	T-REX
2962:	RoboWarriors
2963:	Lincoln Robotics
2973:	Zotbotz
2974:	Scrap Metal
2981:	Red RoboDragon
2993:	Bronze RoboDragon
2997:	Beauty Bot and the Beasts
3006:	TeraBots
3007:	Robotic Rams
3013:	The Nerd Herd
3018:	Chill Out!
3029:	Clockwork
3031:	Robo Hawks
3032:	The Brick Squad
3033:	ETA Roosevelt Robo Riders Robotics
3035:	Royal Robotics
3039:	SAMIBots
3043:	Canton Central School
3050:	G-Bots
3053:	Knights Robotics
3055:	Dark Knights
3057:	Girls Like Bots
3058:	Jury Riggers
3073:	Massive D
3077:	Zinc Iridium
3081:	Trial and Error
3083:	Dragon Chasers
3085:	Higgs Bots
3093:	Apex
3101:	Boom Bots
3111:	SMART
3113:	Some Disassembly Required
3116:	Robo Warriors
3123:	Spontaneous Combustion
3127:	We can do it
3129:	Mixed
3149:	Terminatas
3157:	Williston Wildcat Robotics
3162:	HHS Gearheads
3188:	Squiggle Splat Bang
3208:	Rookeez
3210:	Robo-Cowboys
3216:	Robophins
3222:	Robocats
3231:	SyZyGy
3237:	Titan Robotics Team 2
3253:	Metal Lions
3260:	MegBot
3261:	Nuclear Thought Processes
3273:	Absolute Zero
3283:	SciBots
3296:	The Blue Angels
3305:	Scibots2
3345:	Murphy's Law
3346:	The Robo Chiefs
3351:	Tater Bots
3360:	Team Caffeine
3371:	Bötley Crüe
3372:	Upward Bound
3385:	League of Veterans
3387:	The Bakery
3391:	RetroVirus
3397:	Cyborg Gentleman Crabs
3398:	Darth Panthers Alpha
3409:	Astromechs
3415:	Lancers
3419:	Banneker Warrior Bots
3438:	Jabberwocky
3439:	DragonTechs
3470:	The Patriots
3477:	Geeks in Just Their Underpants
3479:	Generals
3480:	FrostByte
3486:	Techno Warriors Advanced
3492:	Team Zip Tie
3493:	VHS Robotics Club
3496:	Strange Youngsterz
3497:	Kings
